"county","state","metro","avg_home_value"
"Polk County","FL","Lakeland-Winter Haven",176466.083333333
"District of Columbia","DC","Washington-Arlington-Alexandria",601869.25
"Denver County","CO","Denver-Aurora-Lakewood",439065.416666667
"Fort Bend County","TX","Houston-The Woodlands-Sugar Land",264642.916666667
"Ocean County","NJ","New York-Newark-Jersey City",287101.083333333
"Arapahoe County","CO","Denver-Aurora-Lakewood",382552.083333333
"Delaware County","PA","Philadelphia-Camden-Wilmington",220489.583333333
"Bristol County","MA","Providence-Warwick",322880.25
"Johnson County","KS","Kansas City",286526.666666667
"Brevard County","FL","Palm Bay-Melbourne-Titusville",219248.333333333
"Summit County","OH","Akron",134408.583333333
"New Castle County","DE","Philadelphia-Camden-Wilmington",245388.583333333
"Anne Arundel County","MD","Baltimore-Columbia-Towson",350383.083333333
"Union County","NJ","New York-Newark-Jersey City",370734.916666667
"Montgomery County","OH","Dayton",107518.416666667
"Jefferson County","CO","Denver-Aurora-Lakewood",431934.25
"Washington County","OR","Portland-Vancouver-Hillsboro",416933.833333333
"Lancaster County","PA","Lancaster",224786.166666667
"Douglas County","NE","Omaha-Council Bluffs",177404.916666667
"Utah County","UT","Provo-Orem",326333.916666667
"Kane County","IL","Chicago-Naperville-Elgin",230870.916666667
"Stanislaus County","CA","Modesto",308561.833333333
"Camden County","NJ","Philadelphia-Camden-Wilmington",171966.166666667
"Ramsey County","MN","Minneapolis-St. Paul-Bloomington",248009.333333333
"Passaic County","NJ","New York-Newark-Jersey City",340231.916666667
"Chester County","PA","Philadelphia-Camden-Wilmington",353609.916666667
"Sedgwick County","KS","Wichita",136571.5
"Lake County","IN","Chicago-Naperville-Elgin",144378.75
"Plymouth County","MA","Boston-Cambridge-Newton",388828.416666667
"Volusia County","FL","Deltona-Daytona Beach-Ormond Beach",196711.833333333
"Morris County","NJ","New York-Newark-Jersey City",443049.25
"Guilford County","NC","Greensboro-High Point",152692.5
"Dane County","WI","Madison",271354.25
"Sonoma County","CA","Santa Rosa",642819.333333333
"Spokane County","WA","Spokane-Spokane Valley",238371.833333333
"Richmond County","NY","New York-Newark-Jersey City",546283.333333333
"Onondaga County","NY","Syracuse",144260
"Pasco County","FL","Tampa-St. Petersburg-Clearwater",179398.833333333
"Hampden County","MA","Springfield",207924
"Montgomery County","TX","Houston-The Woodlands-Sugar Land",244995.166666667
"Greenville County","SC","Greenville-Anderson-Mauldin",201259.416666667
"Burlington County","NJ","Philadelphia-Camden-Wilmington",225409
"Tulare County","CA","Visalia-Porterville",212079
"Lucas County","OH","Toledo",98576.5833333333
"Adams County","CO","Denver-Aurora-Lakewood",347636.916666667
"East Baton Rouge Parish","LA","Baton Rouge",186742.5
"Virginia Beach City","VA","Virginia Beach-Norfolk-Newport News",269052.583333333
"York County","PA","York-Hanover",179934.833333333
"Jefferson Parish","LA","New Orleans-Metairie",201384.333333333
"Knox County","TN","Knoxville",184553.166666667
"Polk County","IA","Des Moines-West Des Moines",188685.666666667
"Genesee County","MI","Flint",112896.666666667
"Clark County","WA","Portland-Vancouver-Hillsboro",358502.5
"Santa Barbara County","CA","Santa Maria-Santa Barbara",621203.5
"Seminole County","FL","Orlando-Kissimmee-Sanford",252799.833333333
"Williamson County","TX","Austin-Round Rock",289166.75
"Washoe County","NV","Reno",360166.25
"Monterey County","CA","Salinas",567607.25
"Solano County","CA","Vallejo-Fairfield",432834.916666667
"Mobile County","AL","Mobile",118903.25
"Berks County","PA","Reading",179923.583333333
"Cameron County","TX","Brownsville-Harlingen",103119.75
"Prince William County","VA","Washington-Arlington-Alexandria",377200.166666667
"Hillsborough County","NH","Manchester-Nashua",287934.75
"Dakota County","MN","Minneapolis-St. Paul-Bloomington",285564.25
"Ada County","ID","Boise City",291460.5
"Waukesha County","WI","Milwaukee-Waukesha-West Allis",285664.083333333
"Richland County","SC","Columbia",146016.25
"Pulaski County","AR","Little Rock-North Little Rock-Conway",136477.916666667
"Sarasota County","FL","North Port-Sarasota-Bradenton",261233.666666667
"Clackamas County","OR","Portland-Vancouver-Hillsboro",439027.583333333
"Pinal County","AZ","Phoenix-Mesa-Scottsdale",209946.5
"Stark County","OH","Canton-Massillon",125608.333333333
"Orange County","NY","New York-Newark-Jersey City",253033.75
"Butler County","OH","Cincinnati",172799.083333333
"Mercer County","NJ","Trenton",243271.333333333
"Westmoreland County","PA","Pittsburgh",156222.416666667
"Saint Charles County","MO","St. Louis",226790.583333333
"Allen County","IN","Fort Wayne",132556.5
"Lane County","OR","Eugene",285336.083333333
"Forsyth County","NC","Winston-Salem",147179.833333333
"Charleston County","SC","Charleston-North Charleston",333088.416666667
"Lehigh County","PA","Allentown-Bethlehem-Easton",201567.75
"Placer County","CA","Sacramento--Roseville--Arden-Arcade",491637.916666667
"Washtenaw County","MI","Ann Arbor",273638.333333333
"Orleans Parish","LA","New Orleans-Metairie",233576.5
"Nueces County","TX","Corpus Christi",151785.583333333
"Hamilton County","TN","Chattanooga",178301.333333333
"Madison County","AL","Huntsville",178838.333333333
"Marion County","FL","Ocala",154562.833333333
"Anoka County","MN","Minneapolis-St. Paul-Bloomington",251806.25
"Somerset County","NJ","New York-Newark-Jersey City",417410.666666667
"Manatee County","FL","North Port-Sarasota-Bradenton",267893.583333333
"Collier County","FL","Naples-Immokalee-Marco Island",344975.916666667
"Luzerne County","PA","Scranton--Wilkes-Barre--Hazleton",107353.916666667
"Cumberland County","NC","Fayetteville",116887.666666667
"Saint Louis City","MO","St. Louis",122265.416666667
"Chesterfield County","VA","Richmond",242186.666666667
"Marion County","OR","Salem",271373.25
"Brazoria County","TX","Houston-The Woodlands-Sugar Land",222942.25
"Loudoun County","VA","Washington-Arlington-Alexandria",518981.666666667
"Rockland County","NY","New York-Newark-Jersey City",461918.166666667
"Bell County","TX","Killeen-Temple",141982.583333333
"McHenry County","IL","Chicago-Naperville-Elgin",212963.416666667
"Henrico County","VA","Richmond",239442.833333333
"Davis County","UT","Ogden-Clearfield",324458.5
"Albany County","NY","Albany-Schenectady-Troy",222820.916666667
"Lorain County","OH","Cleveland-Elyria",144383.166666667
"Larimer County","CO","Fort Collins",391507.083333333
"Northampton County","PA","Allentown-Bethlehem-Easton",209264.333333333
"Escambia County","FL","Pensacola-Ferry Pass-Brent",155061.083333333
"Dutchess County","NY","New York-Newark-Jersey City",281342.75
"Lake County","FL","Orlando-Kissimmee-Sanford",215806.166666667
"Fayette County","KY","Lexington-Fayette",184752.333333333
"Winnebago County","IL","Rockford",107368.25
"Rockingham County","NH","Boston-Cambridge-Newton",355266
"Boulder County","CO","Boulder",546478.833333333
"Anchorage Borough","AK","Anchorage",304594.416666667
"Galveston County","TX","Houston-The Woodlands-Sugar Land",217380.416666667
"Gloucester County","NJ","Philadelphia-Camden-Wilmington",197362.166666667
"Howard County","MD","Baltimore-Columbia-Towson",447692.416666667
"Douglas County","CO","Denver-Aurora-Lakewood",506290.416666667
"Lancaster County","NE","Lincoln",187425.5
"Spartanburg County","SC","Spartanburg",145339.416666667
"Cumberland County","ME","Portland-South Portland",300511.75
"Ingham County","MI","Lansing-East Lansing",133615.916666667
"Erie County","PA","Erie",123573.083333333
"Lubbock County","TX","Lubbock",140678.75
"Saint Lucie County","FL","Port St. Lucie",212599.416666667
"Leon County","FL","Tallahassee",183087.75
"Greene County","MO","Springfield",137349.333333333
"Hamilton County","IN","Indianapolis-Carmel-Anderson",275477.166666667
"Atlantic County","NJ","Atlantic City-Hammonton",187007.666666667
"New London County","CT","Norwich-New London",233449.416666667
"Saint Clair County","IL","St. Louis",106904.25
"San Luis Obispo County","CA","San Luis Obispo-Paso Robles-Arroyo Grande",601356.5
"Horry County","SC","Myrtle Beach-Conway-North Myrtle Beach",179402.583333333
"Madison County","IL","St. Louis",125954.916666667
"Osceola County","FL","Orlando-Kissimmee-Sanford",211669.583333333
"Dauphin County","PA","Harrisburg-Carlisle",161248.75
"Durham County","NC","Durham-Chapel Hill",230217.25
"Saint Joseph County","IN","South Bend-Mishawaka",123174
"Chatham County","GA","Savannah",184406.083333333
"Ottawa County","MI","Grand Rapids-Wyoming",221858.25
"Rutherford County","TN","Nashville-Davidson--Murfreesboro--Franklin",242998.333333333
"Lexington County","SC","Columbia",163094.416666667
"Santa Cruz County","CA","Santa Cruz-Watsonville",821562.75
"Clayton County","GA","Atlanta-Sandy Springs-Roswell",115320.25
"Merced County","CA","Merced",262832.083333333
"Cleveland County","OK","Oklahoma City",160467.333333333
"Caddo Parish","LA","Shreveport-Bossier City",107919.833333333
"Weld County","CO","Greeley",339160.166666667
"Marin County","CA","San Francisco-Oakland-Hayward",1159282.33333333
"Jefferson County","TX","Beaumont-Port Arthur",106101.75
"Thurston County","WA","Olympia-Tumwater",312133.666666667
"Kitsap County","WA","Bremerton-Silverdale",361812.083333333
"Kalamazoo County","MI","Kalamazoo-Portage",157966
"Webb County","TX","Laredo",153211.583333333
"Brown County","WI","Green Bay",169125.916666667
"Alachua County","FL","Gainesville",183226.166666667
"Hinds County","MS","Jackson",81883.3333333333
"Harford County","MD","Baltimore-Columbia-Towson",289618.666666667
"Yakima County","WA","Yakima",197264.583333333
"Norfolk City","VA","Virginia Beach-Norfolk-Newport News",191245.5
"Mahoning County","OH","Youngstown-Warren-Boardman",89028.9166666667
"Buncombe County","NC","Asheville",287069.5
"Washington County","MN","Minneapolis-St. Paul-Bloomington",308475.083333333
"Cumberland County","PA","Harrisburg-Carlisle",204699
"McLennan County","TX","Waco",154954.083333333
"Oneida County","NY","Utica-Rome",130219.5
"Saint Tammany Parish","LA","New Orleans-Metairie",205562
"Frederick County","MD","Washington-Arlington-Alexandria",336036.666666667
"Weber County","UT","Ogden-Clearfield",255133.083333333
"Lake County","OH","Cleveland-Elyria",149783
"Montgomery County","AL","Montgomery",94194
"York County","SC","Charlotte-Concord-Gastonia",198467.75
"Chesapeake City","VA","Virginia Beach-Norfolk-Newport News",266032.833333333
"Clay County","MO","Kansas City",188735.25
"Lafayette Parish","LA","Lafayette",175175.25
"Benton County","AR","Fayetteville-Springdale-Rogers",191731.916666667
"Butte County","CA","Chico",283876.083333333
"Saratoga County","NY","Albany-Schenectady-Troy",272712.166666667
"Jefferson County","MO","St. Louis",167906
"Niagara County","NY","Buffalo-Cheektowaga-Niagara Falls",137984.916666667
"Barnstable County","MA","Barnstable Town",424542.583333333
"Lackawanna County","PA","Scranton--Wilkes-Barre--Hazleton",131364.666666667
"Cherokee County","GA","Atlanta-Sandy Springs-Roswell",262938.75
"Warren County","OH","Cincinnati",229931.583333333
"Linn County","IA","Cedar Rapids",153760.333333333
"Yavapai County","AZ","Prescott",297511.333333333
"Trumbull County","OH","Youngstown-Warren-Boardman",92346.5833333333
"Smith County","TX","Tyler",154114.916666667
"Dona Ana County","NM","Las Cruces",161440.916666667
"Washington County","PA","Pittsburgh",157672.166666667
"Arlington County","VA","Washington-Arlington-Alexandria",671685.5
"Gaston County","NC","Charlotte-Concord-Gastonia",154508.583333333
"Richmond City","VA","Richmond",213421.333333333
"Henry County","GA","Atlanta-Sandy Springs-Roswell",178056.166666667
"Jackson County","OR","Medford",313138.166666667
"Washington County","AR","Fayetteville-Springdale-Rogers",180531.5
"New Hanover County","NC","Wilmington",244153.833333333
"Union County","NC","Charlotte-Concord-Gastonia",258141
"Whatcom County","WA","Bellingham",375875.25
"Champaign County","IL","Champaign-Urbana",139795.416666667
"Yolo County","CA","Sacramento--Roseville--Arden-Arcade",443379.333333333
"Broome County","NY","Binghamton",112423.333333333
"Richmond County","GA","Augusta-Richmond County",100428.5
"Saint Louis County","MN","Duluth",157219.333333333
"Mohave County","AZ","Lake Havasu City-Kingman",220731.583333333
"Saginaw County","MI","Saginaw",87209.4166666667
"Elkhart County","IN","Elkhart-Goshen",150587.666666667
"Sangamon County","IL","Springfield",131411.333333333
"Clermont County","OH","Cincinnati",181148
"Sussex County","DE","Salisbury",298701.583333333
"York County","ME","Portland-South Portland",289094.25
"Yuma County","AZ","Yuma",149133.75
"Racine County","WI","Racine",215680.583333333
"Shelby County","AL","Birmingham-Hoover",198670.916666667
"Brazos County","TX","College Station-Bryan",211845
"Tuscaloosa County","AL","Tuscaloosa",165371.833333333
"Kanawha County","WV","Charleston",102001.666666667
"Calcasieu Parish","LA","Lake Charles",175301.083333333
"Clay County","FL","Jacksonville",204798.75
"Saint Johns County","FL","Jacksonville",312547.083333333
"Litchfield County","CT","Torrington",238626.166666667
"Muscogee County","GA","Columbus",104488.166666667
"Canyon County","ID","Boise City",202793.083333333
"Anderson County","SC","Greenville-Anderson-Mauldin",149851.333333333
"Harrison County","MS","Gulfport-Biloxi-Pascagoula",133494.166666667
"Peoria County","IL","Peoria",101723.083333333
"Hawaii County","HI","Hilo",365803
"Butler County","PA","Pittsburgh",249882.75
"Williamson County","TN","Nashville-Davidson--Murfreesboro--Franklin",480651
"Ulster County","NY","Kingston",225226.75
"Baldwin County","AL","Daphne-Fairhope-Foley",194301.583333333
"El Dorado County","CA","Sacramento--Roseville--Arden-Arcade",480530.5
"Livingston County","MI","Detroit-Warren-Dearborn",275296.583333333
"Okaloosa County","FL","Crestview-Fort Walton Beach-Destin",217909.916666667
"Newport News City","VA","Virginia Beach-Norfolk-Newport News",178581.833333333
"Vanderburgh County","IN","Evansville",121844.583333333
"Hall County","GA","Gainesville",215161.25
"Cabarrus County","NC","Charlotte-Concord-Gastonia",212249.166666667
"Shawnee County","KS","Topeka",122888.833333333
"Berkeley County","SC","Charleston-North Charleston",210103.833333333
"Onslow County","NC","Jacksonville",150371.083333333
"Shasta County","CA","Redding",257680.916666667
"Outagamie County","WI","Appleton",163851.583333333
"Forsyth County","GA","Atlanta-Sandy Springs-Roswell",343399.166666667
"Benton County","WA","Kennewick-Richland",273009.5
"Imperial County","CA","El Centro",229441.833333333
"Delaware County","OH","Columbus",327908.25
"Tippecanoe County","IN","Lafayette-West Lafayette",160554
"Hernando County","FL","Tampa-St. Petersburg-Clearwater",165661
"Medina County","OH","Cleveland-Elyria",207676.5
"Montgomery County","TN","Clarksville",164981.833333333
"Muskegon County","MI","Muskegon",129431.916666667
"Beaver County","PA","Pittsburgh",125247.166666667
"Monroe County","PA","East Stroudsburg",156049.166666667
"McLean County","IL","Bloomington",152686.666666667
"Minnehaha County","SD","Sioux Falls",199826.25
"Johnston County","NC","Raleigh",191006.083333333
"Bay County","FL","Panama City",202006.75
"Pitt County","NC","Greenville",132543.25
"Carroll County","MD","Baltimore-Columbia-Towson",338590.666666667
"Winnebago County","WI","Oshkosh-Neenah",141296.333333333
"Licking County","OH","Columbus",183148.666666667
"Kenosha County","WI","Chicago-Naperville-Elgin",183477.75
"Kent County","RI","Providence-Warwick",241826.416666667
"Middlesex County","CT","Hartford-West Hartford-East Hartford",282646.916666667
"Scott County","IA","Davenport-Moline-Rock Island",156511
"Porter County","IN","Chicago-Naperville-Elgin",199240.333333333
"Saint Clair County","MI","Detroit-Warren-Dearborn",154830.916666667
"Davidson County","NC","Winston-Salem",138465.583333333
"Boone County","MO","Columbia",182322.416666667
"Kent County","DE","Dover",218513.25
"Beaufort County","SC","Hilton Head Island-Bluffton-Beaufort",310130.5
"Greene County","OH","Dayton",168452.916666667
"Portage County","OH","Akron",161886.916666667
"DeSoto County","MS","Memphis",174227.416666667
"Sumner County","TN","Nashville-Davidson--Murfreesboro--Franklin",256478.5
"Rock County","WI","Janesville-Beloit",139602.25
"Jackson County","MI","Jackson",140842.666666667
"Aiken County","SC","Augusta-Richmond County",144045.583333333
"Charlotte County","FL","Punta Gorda",209384.583333333
"Kenton County","KY","Cincinnati",160823.416666667
"Iredell County","NC","Charlotte-Concord-Gastonia",207473.083333333
"Rensselaer County","NY","Albany-Schenectady-Troy",188393.5
"Pueblo County","CO","Pueblo",168298.75
"Sarpy County","NE","Omaha-Council Bluffs",212675.666666667
"Hampshire County","MA","Springfield",276150.166666667
"Deschutes County","OR","Bend-Redmond",392924.583333333
"Wyandotte County","KS","Kansas City",106411.75
"Hays County","TX","Austin-Round Rock",274546.333333333
"Cumberland County","NJ","Vineland-Bridgeton",140315.666666667
"Sullivan County","TN","Kingsport-Bristol-Bristol",136343.333333333
"Berrien County","MI","Niles-Benton Harbor",167911
"Chittenden County","VT","Burlington-South Burlington",318020.583333333
"Bibb County","GA","Macon-Bibb County",84040
"Maui County","HI","Kahului-Wailuku-Lahaina",656511.083333333
"Schenectady County","NY","Albany-Schenectady-Troy",172683.583333333
"Catawba County","NC","Hickory-Lenoir-Morganton",150057.333333333
"Centre County","PA","State College",238394.5
"Penobscot County","ME","Bangor",147545.416666667
"Ouachita Parish","LA","Monroe",156772.916666667
"Kings County","CA","Hanford-Corcoran",215619.416666667
"Tolland County","CT","Hartford-West Hartford-East Hartford",237497.416666667
"Monroe County","MI","Monroe",159963.666666667
"Santa Rosa County","FL","Pensacola-Ferry Pass-Brent",205871.5
"Alamance County","NC","Burlington",151648.416666667
"Johnson County","TX","Dallas-Fort Worth-Arlington",201447.666666667
"Madera County","CA","Madera",257142.583333333
"Stearns County","MN","St. Cloud",198604.5
"Cass County","ND","Fargo",229798.083333333
"Franklin County","PA","Chambersburg-Waynesboro",171855.083333333
"Ellis County","TX","Dallas-Fort Worth-Arlington",222558
"Sussex County","NJ","New York-Newark-Jersey City",239424.25
"Schuylkill County","PA","Pottsville",75551.25
"Yellowstone County","MT","Billings",245149.416666667
"Rock Island County","IL","Davenport-Moline-Rock Island",108118.416666667
"Washington County","MD","Hagerstown-Martinsburg",204094.333333333
"Mesa County","CO","Grand Junction",245258.166666667
"Charles County","MD","Washington-Arlington-Alexandria",305005.333333333
"Merrimack County","NH","Concord",254617.666666667
"Martin County","FL","Port St. Lucie",278386.916666667
"Fairfield County","OH","Columbus",198046.583333333
"Hendricks County","IN","Indianapolis-Carmel-Anderson",197491.833333333
"Olmsted County","MN","Rochester",231659.416666667
"Santa Fe County","NM","Santa Fe",336054
"Cambria County","PA","Johnstown",71833.5
"Paulding County","GA","Atlanta-Sandy Springs-Roswell",181743.166666667
"Randolph County","NC","Greensboro-High Point",132857.75
"Rankin County","MS","Jackson",170953.333333333
"Citrus County","FL","Homosassa Springs",155373.583333333
"Lee County","AL","Auburn-Opelika",185315.75
"Alexandria City","VA","Washington-Arlington-Alexandria",529545.25
"Houston County","GA","Warner Robins",134995.5
"Jackson County","MS","Gulfport-Biloxi-Pascagoula",123004.25
"Johnson County","IN","Indianapolis-Carmel-Anderson",175023
"Kootenai County","ID","Coeur d'Alene",300560.416666667
"Rowan County","NC","Charlotte-Concord-Gastonia",141396.166666667
"Clark County","OH","Springfield",106999.333333333
"Washington County","UT","St. George",305129.583333333
"Indian River County","FL","Sebastian-Vero Beach",222208.083333333
"Monroe County","IN","Bloomington",192882.083333333
"Hampton City","VA","Virginia Beach-Norfolk-Newport News",161283.166666667
"Ector County","TX","Odessa",175993.666666667
"Florence County","SC","Florence",118565.25
"Midland County","TX","Midland",243312.916666667
"Fayette County","PA","Pittsburgh",96002.9166666667
"Dorchester County","SC","Charleston-North Charleston",215055.25
"Napa County","CA","Napa",680806.583333333
"Calhoun County","MI","Battle Creek",117867.833333333
"Tazewell County","IL","Peoria",124561.916666667
"Chautauqua County","NY","Jamestown-Dunkirk-Fredonia",89977
"Humboldt County","CA","Eureka-Arcata-Fortuna",319209.25
"Coconino County","AZ","Flagstaff",346133.833333333
"Robeson County","NC","Lumberton",70788.9166666667
"Marathon County","WI","Wausau",155268
"Orange County","NC","Durham-Chapel Hill",300018.083333333
"Lebanon County","PA","Lebanon",173399.583333333
"Douglas County","GA","Atlanta-Sandy Springs-Roswell",166480.333333333
"Washington County","WI","Milwaukee-Waukesha-West Allis",235648.083333333
"Madison County","IN","Indianapolis-Carmel-Anderson",91132.3333333333
"Rapides Parish","LA","Alexandria",129452.75
"Sandoval County","NM","Albuquerque",201286.333333333
"Guadalupe County","TX","San Antonio-New Braunfels",224048.916666667
"Taylor County","TX","Abilene",130376.583333333
"Wichita County","TX","Wichita Falls",92010.4166666667
"Cochise County","AZ","Sierra Vista-Douglas",143018.5
"Berkshire County","MA","Pittsfield",220646.5
"Black Hawk County","IA","Waterloo-Cedar Falls",129911.583333333
"Johnson County","IA","Iowa City",227383.75
"San Juan County","NM","Farmington",164319.25
"Scott County","MN","Minneapolis-St. Paul-Bloomington",316089.166666667
"Stafford County","VA","Washington-Arlington-Alexandria",341423.833333333
"Hunterdon County","NJ","New York-Newark-Jersey City",389020.5
"Livingston Parish","LA","Baton Rouge",176892.916666667
"Coweta County","GA","Atlanta-Sandy Springs-Roswell",217428.75
"Blair County","PA","Altoona",110061.166666667
"Washington County","RI","Providence-Warwick",377036.666666667
"Sebastian County","AR","Fort Smith",110755.666666667
"Wood County","OH","Toledo",163758.833333333
"Wright County","MN","Minneapolis-St. Paul-Bloomington",252027.5
"Richland County","OH","Mansfield",97336.4166666667
"Comanche County","OK","Lawton",92978.9166666667
"Columbia County","GA","Augusta-Richmond County",200646.916666667
"Strafford County","NH","Boston-Cambridge-Newton",258646.5
"Blount County","TN","Knoxville",185951.916666667
"Washington County","TN","Johnson City",159213.416666667
"Wayne County","NC","Goldsboro",123158.416666667
"Spotsylvania County","VA","Washington-Arlington-Alexandria",279243.916666667
"Kennebec County","ME","Augusta-Waterville",158477
"Oswego County","NY","Syracuse",107130.416666667
"Gregg County","TX","Longview",144236.583333333
"Tangipahoa Parish","LA","Hammond",143638
"Potter County","TX","Amarillo",86904.75
"Grayson County","TX","Sherman-Denison",162948.75
